Latitude,Longitude,median_U,median_V
16.6037,-66.0408,0.02,-0.055
16.6037,-65.9851,0.08,-0.01
16.6037,-65.9293,0.05,-0.005
16.6037,-65.8736,0.01,0.03
16.6037,-65.8178,0.04,0.06
16.6037,-65.7621,0.13,0.11
16.6037,-65.7064,0.15,0.11
16.6037,-65.6506,0.07,0.215
16.6576,-67.49,0.015,0.0
16.6576,-67.4343,0.03,-0.02
16.6576,-67.3786,-0.01,0.01
16.6576,-67.2671,-0.04,-0.01
16.6576,-67.2113,-0.03,-0.025
16.6576,-67.1556,-0.07,-0.04
16.6576,-67.0999,-0.24,-0.04
16.6576,-67.0441,-0.1,-0.06
16.6576,-66.9884,-0.1,-0.07
16.6576,-66.9326,-0.1,-0.08
16.6576,-66.8769,-0.09,-0.09
16.6576,-66.8212,-0.08,-0.1
16.6576,-66.7654,-0.07,-0.1
16.6576,-66.7097,-0.07,-0.11499999999999999
16.6576,-66.6539,-0.06,-0.12
16.6576,-66.5982,-0.07,-0.13
16.6576,-66.5425,-0.08,-0.13
16.6576,-66.4867,-0.08,-0.12
16.6576,-66.431,-0.08,-0.12
16.6576,-66.3752,-0.07,-0.12
16.6576,-66.3195,-0.05,-0.11
16.6576,-66.2638,-0.01,-0.09
16.6576,-66.208,0.0,-0.09
16.6576,-66.1523,0.0,-0.08
16.6576,-66.0965,0.01,-0.05
16.6576,-66.0408,0.05,-0.03
16.6576,-65.9851,0.05,0.01
16.6576,-65.9293,-0.03,0.03
16.6576,-65.8736,0.01,0.06
16.6576,-65.8178,0.05,0.07
16.6576,-65.7621,0.0,0.095
16.6576,-65.7064,0.05,0.13
16.6576,-65.6506,0.08,0.18
16.7115,-67.49,-0.025,-0.01
16.7115,-67.4343,0.01,-0.01
16.7115,-67.3786,-0.02,-0.01
16.7115,-67.3228,-0.01,-0.02
16.7115,-67.2671,-0.05,-0.01
16.7115,-67.2113,-0.06,-0.01
16.7115,-67.1556,-0.09,-0.03
16.7115,-67.0999,-0.11,-0.03
16.7115,-67.0441,-0.12,-0.05
16.7115,-66.9884,-0.11,-0.07
16.7115,-66.9326,-0.08499999999999999,-0.07
16.7115,-66.8769,-0.09,-0.09
16.7115,-66.8212,-0.09,-0.1
