Latitude,Longitude,mean_U,mean_V,Speed,unit_U,unit_V
16.4418,-66.4867,-0.11961326,-0.16281768,0.202031999,-0.592051062,-0.805900453
16.4418,-66.431,-0.109851485,-0.16009901,0.194162411,-0.565771123,-0.82456233
16.4418,-66.3752,-0.076610879,-0.158828452,0.17633974,-0.434450446,-0.900695737
16.4418,-66.3195,-0.076315789,-0.154254386,0.172100306,-0.443437849,-0.896305123
16.4418,-66.2638,-0.128531469,-0.175244755,0.217327087,-0.591419461,-0.806364075
16.4418,-66.208,-0.031221719,-0.126968326,0.130750723,-0.238788121,-0.971071693
16.4418,-66.1523,-0.066830986,-0.147676056,0.162094412,-0.412296669,-0.911049646
16.4418,-66.0965,-0.048614458,-0.142349398,0.150421795,-0.323187592,-0.94633492
16.4418,-66.0408,0.059527559,-0.070472441,0.092249093,0.645291535,-0.763936407
16.4418,-65.9851,8.20E-05,-0.05852459,0.058524648,0.001400559,-0.999999019
16.4418,-65.9293,0.032377049,-0.035491803,0.048041039,0.673945651,-0.738780928
16.4418,-65.8736,0.081734694,-0.002142857,0.081762779,0.999656506,-0.026208223
16.4958,-67.3228,-0.02119403,-0.001044776,0.021219766,-0.998787173,-0.049235987
16.4958,-67.1556,-0.112457627,-0.029661017,0.116303456,-0.966932808,-0.255031261
16.4958,-67.0999,-0.087013889,-0.070625,0.112068316,-0.776436123,-0.630195959
16.4958,-67.0441,-0.110212766,-0.067180851,0.129074089,-0.853872118,-0.520482859
16.4958,-66.9884,-0.119657143,-0.086914286,0.147891598,-0.809086818,-0.587689136
16.4958,-66.9326,-0.105419355,-0.096709677,0.143059435,-0.736892009,-0.676010478
16.4958,-66.8769,-0.095401786,-0.10375,0.140945249,-0.676871242,-0.736101435
16.4958,-66.8212,-0.12832618,-0.115665236,0.172760109,-0.742799832,-0.669513561
16.4958,-66.7654,-0.117639344,-0.119737705,0.167857479,-0.700828732,-0.713329579
16.4958,-66.7097,-0.102483871,-0.124903226,0.16156658,-0.634313552,-0.773075881
16.4958,-66.6539,-0.098488746,-0.13221865,0.164869052,-0.597375582,-0.801961604
16.4958,-66.5982,-0.10788,-0.13824,0.175352194,-0.615218991,-0.78835626
16.4958,-66.5425,-0.087265918,-0.143108614,0.167616872,-0.520627288,-0.853784063
16.4958,-66.4867,-0.088104089,-0.146282528,0.170765654,-0.515935654,-0.856627341
16.4958,-66.431,-0.105635359,-0.154972376,0.187550703,-0.563236273,-0.826295892
16.4958,-66.3752,-0.075811321,-0.154867925,0.172428044,-0.439669319,-0.898159724
16.4958,-66.3195,-0.057727273,-0.143227273,0.154423087,-0.373825404,-0.927499093
16.4958,-66.2638,-0.088969697,-0.155212121,0.178903353,-0.497305924,-0.867575252
16.4958,-66.208,-0.031940928,-0.123755274,0.127810762,-0.249907972,-0.968269593
16.4958,-66.1523,-0.034,-0.125375,0.12990339,-0.26173297,-0.965140328
16.4958,-66.0965,-0.060067568,-0.141689189,0.153895871,-0.390313056,-0.920682203
16.4958,-66.0408,0.018901734,-0.066184971,0.068831141,0.274610211,-0.961555631
